#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_29_0 , BASE1 , 2000-01-29 , 13:00 , AIR1 , 2000-01-29 , 14:10
LEG_29_1 , BASE2 , 2000-01-29 , 18:56 , AIR15 , 2000-01-29 , 20:44
LEG_29_2 , BASE2 , 2000-01-29 , 15:15 , AIR6 , 2000-01-29 , 17:47
LEG_29_3 , BASE2 , 2000-01-29 , 20:38 , AIR6 , 2000-01-29 , 23:11
LEG_29_4 , AIR3 , 2000-01-29 , 18:45 , BASE2 , 2000-01-29 , 19:26
LEG_29_5 , AIR6 , 2000-01-29 , 18:05 , BASE2 , 2000-01-29 , 20:42
LEG_29_6 , AIR23 , 2000-01-29 , 14:20 , BASE1 , 2000-01-29 , 15:21
LEG_29_7 , BASE1 , 2000-01-29 , 16:24 , AIR9 , 2000-01-29 , 19:36
LEG_29_8 , BASE2 , 2000-01-29 , 22:05 , AIR20 , 2000-01-30 , 00:04
LEG_29_9 , AIR20 , 2000-01-29 , 01:10 , BASE2 , 2000-01-29 , 03:04
LEG_29_10 , AIR9 , 2000-01-29 , 22:00 , BASE2 , 2000-01-30 , 00:40
LEG_29_11 , AIR15 , 2000-01-29 , 00:05 , BASE1 , 2000-01-29 , 03:20
LEG_29_12 , BASE3 , 2000-01-29 , 19:00 , AIR9 , 2000-01-29 , 20:47
LEG_29_13 , AIR9 , 2000-01-29 , 20:20 , BASE3 , 2000-01-29 , 22:23
LEG_29_14 , AIR3 , 2000-01-29 , 12:00 , BASE2 , 2000-01-29 , 12:47
LEG_29_15 , BASE2 , 2000-01-29 , 14:13 , AIR21 , 2000-01-29 , 17:03
LEG_29_16 , BASE2 , 2000-01-29 , 21:57 , AIR14 , 2000-01-29 , 22:48
LEG_29_17 , AIR21 , 2000-01-29 , 18:15 , BASE2 , 2000-01-29 , 21:10
LEG_29_18 , AIR6 , 2000-01-29 , 15:45 , BASE3 , 2000-01-29 , 17:47
LEG_29_19 , AIR6 , 2000-01-29 , 00:15 , BASE3 , 2000-01-29 , 02:19
LEG_29_20 , BASE3 , 2000-01-29 , 23:20 , AIR6 , 2000-01-30 , 01:13
LEG_29_21 , BASE3 , 2000-01-29 , 15:10 , AIR6 , 2000-01-29 , 17:05
LEG_29_22 , AIR1 , 2000-01-29 , 15:05 , BASE2 , 2000-01-29 , 16:19
LEG_29_23 , BASE2 , 2000-01-29 , 17:13 , AIR3 , 2000-01-29 , 17:50
LEG_29_24 , AIR14 , 2000-01-29 , 23:40 , BASE1 , 2000-01-30 , 01:50
LEG_29_25 , BASE1 , 2000-01-29 , 02:50 , AIR23 , 2000-01-29 , 03:49
LEG_29_26 , AIR2 , 2000-01-29 , 00:15 , BASE2 , 2000-01-29 , 01:02
LEG_29_27 , BASE2 , 2000-01-29 , 02:22 , AIR3 , 2000-01-29 , 02:59
LEG_29_28 , BASE2 , 2000-01-29 , 22:12 , AIR2 , 2000-01-29 , 23:01
LEG_29_29 , AIR6 , 2000-01-29 , 18:40 , BASE2 , 2000-01-29 , 21:17
