#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_31_0 , BASE1 , 2000-01-31 , 13:00 , AIR1 , 2000-01-31 , 14:10
LEG_31_2 , BASE2 , 2000-01-31 , 15:15 , AIR6 , 2000-01-31 , 17:47
LEG_31_4 , AIR3 , 2000-01-31 , 18:45 , BASE2 , 2000-01-31 , 19:26
LEG_31_5 , AIR6 , 2000-01-31 , 18:05 , BASE2 , 2000-01-31 , 20:42
LEG_31_6 , AIR23 , 2000-01-31 , 14:20 , BASE1 , 2000-01-31 , 15:21
LEG_31_7 , BASE1 , 2000-01-31 , 16:24 , AIR9 , 2000-01-31 , 19:36
LEG_31_9 , AIR20 , 2000-01-31 , 01:10 , BASE2 , 2000-01-31 , 03:04
LEG_31_10 , AIR9 , 2000-01-31 , 22:00 , BASE2 , 2000-02-01 , 00:40
LEG_31_11 , AIR15 , 2000-01-31 , 00:05 , BASE1 , 2000-01-31 , 03:20
LEG_31_12 , BASE3 , 2000-01-31 , 19:00 , AIR9 , 2000-01-31 , 20:47
LEG_31_13 , AIR9 , 2000-01-31 , 20:20 , BASE3 , 2000-01-31 , 22:23
LEG_31_14 , AIR3 , 2000-01-31 , 12:00 , BASE2 , 2000-01-31 , 12:47
LEG_31_15 , BASE2 , 2000-01-31 , 14:13 , AIR21 , 2000-01-31 , 17:03
LEG_31_16 , BASE2 , 2000-01-31 , 21:57 , AIR14 , 2000-01-31 , 22:48
LEG_31_17 , AIR21 , 2000-01-31 , 18:15 , BASE2 , 2000-01-31 , 21:10
LEG_31_18 , AIR6 , 2000-01-31 , 15:45 , BASE3 , 2000-01-31 , 17:47
LEG_31_19 , AIR6 , 2000-01-31 , 00:15 , BASE3 , 2000-01-31 , 02:19
LEG_31_21 , BASE3 , 2000-01-31 , 15:10 , AIR6 , 2000-01-31 , 17:05
LEG_31_22 , AIR1 , 2000-01-31 , 15:05 , BASE2 , 2000-01-31 , 16:19
LEG_31_23 , BASE2 , 2000-01-31 , 17:13 , AIR3 , 2000-01-31 , 17:50
LEG_31_24 , AIR14 , 2000-01-31 , 23:40 , BASE1 , 2000-02-01 , 01:50
LEG_31_25 , BASE1 , 2000-01-31 , 02:50 , AIR23 , 2000-01-31 , 03:49
LEG_31_26 , AIR2 , 2000-01-31 , 00:15 , BASE2 , 2000-01-31 , 01:02
LEG_31_27 , BASE2 , 2000-01-31 , 02:22 , AIR3 , 2000-01-31 , 02:59
LEG_31_29 , AIR6 , 2000-01-31 , 18:40 , BASE2 , 2000-01-31 , 21:17
