#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_05_0 , AIR3 , 2000-01-05 , 17:45 , BASE2 , 2000-01-05 , 18:27
LEG_05_1 , AIR13 , 2000-01-05 , 13:20 , BASE2 , 2000-01-05 , 15:18
LEG_05_2 , BASE2 , 2000-01-05 , 10:41 , AIR13 , 2000-01-05 , 12:22
LEG_05_3 , AIR5 , 2000-01-05 , 20:35 , BASE2 , 2000-01-05 , 21:49
LEG_05_4 , BASE2 , 2000-01-05 , 14:21 , AIR6 , 2000-01-05 , 16:54
LEG_05_5 , AIR4 , 2000-01-05 , 12:20 , BASE2 , 2000-01-05 , 13:26
LEG_05_6 , AIR6 , 2000-01-05 , 17:40 , BASE2 , 2000-01-05 , 20:23
LEG_05_7 , AIR8 , 2000-01-05 , 12:40 , BASE1 , 2000-01-05 , 14:30
LEG_05_8 , BASE1 , 2000-01-05 , 15:24 , AIR9 , 2000-01-05 , 18:32
LEG_05_9 , BASE1 , 2000-01-05 , 18:30 , AIR9 , 2000-01-05 , 21:36
LEG_05_10 , AIR10 , 2000-01-05 , 14:20 , BASE1 , 2000-01-05 , 16:49
LEG_05_11 , AIR9 , 2000-01-05 , 17:05 , BASE2 , 2000-01-05 , 19:44
LEG_05_12 , AIR14 , 2000-01-05 , 22:40 , BASE1 , 2000-01-06 , 00:41
LEG_05_13 , AIR2 , 2000-01-05 , 19:30 , BASE1 , 2000-01-05 , 20:54
LEG_05_14 , BASE1 , 2000-01-05 , 22:01 , AIR10 , 2000-01-06 , 00:47
LEG_05_15 , BASE3 , 2000-01-05 , 14:05 , AIR9 , 2000-01-05 , 15:55
LEG_05_16 , AIR9 , 2000-01-05 , 19:20 , BASE3 , 2000-01-05 , 21:18
LEG_05_17 , AIR9 , 2000-01-05 , 23:05 , BASE3 , 2000-01-06 , 00:58
LEG_05_18 , BASE2 , 2000-01-05 , 17:56 , AIR5 , 2000-01-05 , 19:10
LEG_05_19 , AIR6 , 2000-01-05 , 14:00 , BASE2 , 2000-01-05 , 16:41
LEG_05_20 , BASE3 , 2000-01-05 , 22:20 , AIR6 , 2000-01-06 , 00:21
LEG_05_21 , BASE2 , 2000-01-05 , 20:57 , AIR14 , 2000-01-05 , 21:48
LEG_05_22 , BASE2 , 2000-01-05 , 01:04 , AIR12 , 2000-01-05 , 03:46
LEG_05_23 , BASE2 , 2000-01-05 , 17:47 , AIR2 , 2000-01-05 , 18:34
LEG_05_24 , AIR12 , 2000-01-05 , 13:45 , BASE2 , 2000-01-05 , 16:34
LEG_05_25 , AIR12 , 2000-01-05 , 17:00 , BASE2 , 2000-01-05 , 19:52
LEG_05_26 , BASE2 , 2000-01-05 , 12:59 , AIR12 , 2000-01-05 , 15:46
LEG_05_27 , BASE2 , 2000-01-05 , 16:13 , AIR3 , 2000-01-05 , 16:59
LEG_05_28 , AIR7 , 2000-01-05 , 10:10 , BASE2 , 2000-01-05 , 12:11
LEG_05_29 , BASE2 , 2000-01-05 , 19:21 , AIR8 , 2000-01-05 , 22:27
LEG_05_30 , AIR11 , 2000-01-05 , 00:00 , BASE2 , 2000-01-05 , 01:55
